,Concept,Category
0,Bab_al-Nasr_(Cairo),Famous Landmarks
1,Mortuary_Temple_of_Seti_I_in_Qurna,Famous Landmarks
2,Great_Pyramid_of_Giza,Famous Landmarks
3,Umm_Kulthum_Museum,Historical Figures
4,Wadi_el-Raiyan,Natural scenery and Ecosystem
5,Al-Shate'e_Mosque,Religion and belief
6,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem
7,Bayt_Al-Suhaymi,Famous Landmarks
8,Na'ama_Bay,Famous Landmarks
9,Elephantine,Famous Landmarks
10,Siwa,Famous Landmarks
11,Colossi_of_Memnon,Famous Landmarks
12,Pyramid_of_Unas,Famous Landmarks
13,Cairo_Citadel,Famous Landmarks
14,Mastabat_al-Fir'aun,Famous Landmarks
15,Great_Hypostyle_Hall_of_Karnak,Famous Landmarks
16,Wadi_Degla,Famous Landmarks
17,Abu_Haggag_Mosque,Famous Landmarks
18,Gayer-Anderson_Museum,Historical Artifacts
19,Bab_Zuwayla,Famous Landmarks
20,Bagawat,NaN
21,Temple_of_Seti_I_in_Abydos,Famous Landmarks
22,Sehel_Island,Famous Landmarks
23,Karnak_precinct_of_Amun-Ra,Famous Landmarks
24,Pyramid_of_Djoser,Famous Landmarks
25,Pyramid_of_Djedefra,Famous Landmarks
26,KV17,Famous Landmarks
27,Al-Ashraf_Mosque,Famous Landmarks
28,Temple_of_Kom_Ombo,Famous Landmarks
29,City_of_the_dead_(Cairo),Famous Landmarks
30,Egyptian_Museum_(Cairo),Historical Artifacts
31,Saint_George_Church_in_Coptic_Cairo,Religion and belief
32,Red_Pyramid,Famous Landmarks
33,El_Ferdan_Railway_Bridge,Famous Landmarks
34,Qasr_Qarun,Famous Landmarks
35,Kitchener's_Island,Natural scenery and Ecosystem
36,Children's_Civilisation_and_Creativity_Centre,Unable to categorize without a Wikipedia summary. Please provide the Wikipedia summary for Children's_Civilisation_and_Creativity_Centre.
37,Sulayman_Agha_al-Silahdar_Mosque,Famous Landmarks
38,Temple_of_Hibis,Famous Landmarks
39,Valley_of_the_Golden_Mummies,Historical Artifacts
40,Giza_Zoo,Famous Landmarks
41,Bibliotheca_Alexandrina,Famous Landmarks
42,Unfinished_obelisk_in_Aswan,Famous Landmarks
43,Sabil_of_Abd_al-Rahman_Katkhuda,Famous Landmarks
44,Agiba_beach,"I am sorry, I cannot categorize Agiba_beach as I lack the provided Wikipedia summary. Please provide the summary to get the categorization."
45,Gebel_el-Silsila,Famous Landmarks
46,Muizz_Street,Famous Landmarks
47,Monastery_of_Saint_Bishoy,Religion and belief
48,Osireion,Famous Landmarks
49,Pyramid_of_Khafra,Famous Landmarks
50,Soma_Bay,Natural scenery and Ecosystem
51,Madrasah_of_Sarghatmish,Famous Landmarks
52,Corniche_(Alexandria),Famous Landmarks
53,"St._Catherine's_Cathedral,_Alexandria",Religion and belief
54,Giza_pyramid_complex,Famous Landmarks
55,Monastery_of_Saint_Anthony,Religion and belief
56,Alexandria_Opera_House,Famous Landmarks
57,Sphinx_of_Memphis,Famous Landmarks
58,Grand_Egyptian_Museum,Historical Artifacts
59,Kom_el-Shoqafa,Famous Landmarks
60,Qaed_Ibrahim_Mosque,Religion and belief
61,Khayrbak_Mosque,Famous Landmarks
62,Ramesseum,Famous Landmarks
63,Al-Qurn,Famous Landmarks
64,"Garden_City,_Cairo",Famous Landmarks
65,Tomb_of_Nefertari,Famous Landmarks
66,Monastery_of_Saint_Simeon_in_Aswan,Famous Landmarks
67,Temple_of_Isis_in_Philae,Famous Landmarks
68,Blue_Hole_(Red_Sea),Natural scenery and Ecosystem
69,Baron_Empain_Palace,Famous Landmarks
70,"Saint_Catherine's_Monastery,_Mount_Sinai",Famous Landmarks
71,Faiyum_Zoo,Famous Landmarks
72,Aguilkia_Island,"To provide a classification, I need the Wikipedia summary you mentioned. Please provide the summary of the Aguilkia Island Wikipedia page. Then I will be able to select the most appropriate category from your list."
73,Hanging_Church_(Cairo),Religion and belief
74,Qubbet_el-Hawa,Famous Landmarks
75,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Famous Landmarks
76,Tomb_of_Nakht_TT52,Famous Landmarks
77,Abdeen_Palace,Famous Landmarks
78,Deir_el-Medina,Famous Landmarks
79,Egyptian_National_Military_Museum,Historical Artifacts
80,Madrasah_of_Al-Nasir_Muhammad,Famous Landmarks
81,Al-Manyal_Palace_Museum,Historical Artifacts
82,Monastery_of_Saint_Samuel_the_Confessor,Religion and belief
83,Meidum,Famous Landmarks
84,Abu_el-Abbas_el-Mursi_Mosque,Religion and belief
85,Theban_Necropolis,Famous Landmarks
86,Citadel_of_Qaitbay,Famous Landmarks
87,Nabq_Protected_Area,Natural scenery and Ecosystem
88,Mosque_of_al-Mahmudiya,Religion and belief
89,Bibliotheca_Alexandrina_planetarium,Famous Landmarks
90,Al-Jawhara_Palace_museum,"Given that a Wikipedia summary would likely describe a museum, the most appropriate category is:

Historical Artifacts"
91,Aswan_High_Dam,Famous Landmarks
92,Mortuary_Temple_of_Hatshepsut,Famous Landmarks
93,Deir_el-Bahari,Famous Landmarks
94,El_Alamein_Military_Museum,Historical Artifacts
95,"Pompey's_Pillar,_Alexandria",Famous Landmarks
96,Esna_Temple,Famous Landmarks
97,Pyramid_of_Amenemhat_III_in_Hawara,Famous Landmarks
98,Great_Sphinx_of_Giza,Famous Landmarks
99,Rahmanyia_island,I am unable to answer the question because the provided Wikipedia summary is empty. I need information about Rahmanyia_island to categorize it.
100,Al-Azhar_Park_(Cairo),Famous Landmarks
101,Deir_el-Muharraq,Religion and belief
102,"Shalalat_Garden,_Alexandria","I cannot answer this question because the provided information is insufficient. The Wikipedia summary is empty, and without knowing anything about ""Shalalat_Garden,_Alexandria,"" I cannot categorize it."
103,Eliyahu_Hanavi_Synagogue_(Alexandria),Religion and belief
104,Orman_Garden,Famous Landmarks
105,Fatimid_Cemetery_in_Aswan,Famous Landmarks
106,Famine_stele,Historical Artifacts
107,Mokattam,Famous Landmarks
108,Aquarium_Grotto_Garden,"I am unable to provide a response, as there is no Wikipedia Summary to categorize ""Aquarium_Grotto_Garden"" with."
109,Gezira,Famous Landmarks
110,Mausoleum_of_Aga_Khan,Famous Landmarks
111,Great_Temple_of_the_Aten,Famous Landmarks
112,Qasr_al-Nil_Bridge,Famous Landmarks
113,Temple_of_Khonsu_in_Karnak,Famous Landmarks
114,Beni_Hassan,Historical Figures
115,Kiosk_of_Trajan_in_Philae,Famous Landmarks
116,Khan_el-Khalili,Famous Landmarks
117,Luxor_Temple,Famous Landmarks
118,Suez_Canal_Bridge,Famous Landmarks
119,Pyramid_of_Senusret_II,Famous Landmarks
120,Pyramid_of_Neferirkare,Famous Landmarks
121,Pyramid_of_Qakare_Ibi,Famous Landmarks
122,Giza_Plateau,Famous Landmarks
123,Sultan_Qaytbay_Complex,Famous Landmarks
124,Pyramid_of_Menkaure,Famous Landmarks
125,Amr_Ibn_al-Aas_Mosque_(Damietta),Famous Landmarks
126,Amr_Ibn_al-Aas_Mosque_(Damietta),Famous Landmarks
127,Montaza_Palace,Famous Landmarks
128,6_October_Bridge,Famous Landmarks
129,Ben_Ezra_Synagogue,Famous Landmarks
130,Bent_Pyramid,Famous Landmarks
131,"Crystal_Mountain,_White_Desert","Given the lack of a Wikipedia summary, and relying solely on the name ""Crystal Mountain, White Desert"", the most likely category is:

Natural scenery and Ecosystem"
132,Pyramid_of_Djedkare_Isesi,Famous Landmarks
133,Alexandria_Zoo,Famous Landmarks
134,Monastery_of_Saint_Macarius_the_Great,Religion and belief
135,Pyramid_of_Userkaf,Famous Landmarks
136,Valley_of_the_Queens,Famous Landmarks
137,Cairo_International_Stadium,Famous Landmarks
138,Sakakini_Palace,Famous Landmarks
139,Dendera_Temple_complex,Famous Landmarks
140,Islamic_Cairo,Famous Landmarks
141,Ras_Muhammad,Natural scenery and Ecosystem
142,Mosque_of_al-Maridani,Famous Landmarks
143,"Greco-Roman_Museum,_Alexandria",Historical Artifacts
144,Synagogue_of_Moses_Maimonides,Religion and belief
145,Mosque_of_Saint_Ibrahim_El-Desouky,Religion and belief
146,Al-Sayeda_Nafeesah_Mosque,Religion and belief
147,Saint_Barbara_Church_in_Coptic_Cairo,Religion and belief
148,Temple_of_Derr,Famous Landmarks
149,Alexandria_Port,Famous Landmarks
150,Mosque-Madrassa_of_Sultan_Hassan,Famous Landmarks
151,Bab_al-Futuh,Famous Landmarks
152,Qalawun_complex,Famous Landmarks
153,"Saint_Mark's_Coptic_Orthodox_Cathedral,_Cairo",Religion and belief
154,Coptic_Museum_in_Cairo,Historical Artifacts
155,Nilometer_in_Rhoda_Island,Famous Landmarks
156,San_Stefano_Grand_Plaza,Famous Landmarks
157,Mohandessin,Famous Landmarks
158,Speos_Artemidos,Famous Landmarks
159,Pyramid_of_Khendjer,Famous Landmarks
160,Al-Salih_Tala'i_Mosque,Famous Landmarks
161,Mallawi_Museum,Historical Artifacts
162,Amir_Taz_Palace,Famous Landmarks
163,Pyramid_of_Sahure,Famous Landmarks
164,Al-Rifa'i_Mosque,Famous Landmarks
165,Mosque_of_Qajmas_al-Ishaqi,Famous Landmarks
166,Nyuserre_sun_temple,Famous Landmarks
167,Luxor_Museum,Historical Artifacts
168,Aswan_Low_Dam,Famous Landmarks
169,Pyramid_of_Senusret_I,Famous Landmarks
170,Tomb_of_Kheruef,Famous Landmarks
171,Sadat_museum,Historical Artifacts
172,Temple_of_Isis_in_Deir_el-Shelwit,Famous Landmarks
173,Al-Aqmar_Mosque,Famous Landmarks
174,White_Monastery,Religion and belief
175,Antoniadis_Palace,Historical Figures
176,Mosque_of_Qanibay_al-Rammah,Famous Landmarks
177,Muhammad_Ali_Mosque,Famous Landmarks
178,Mosque_of_Sultan_al-Zahir_Baybars,Famous Landmarks
179,Aswan_Botanical_Garden,Natural scenery and Ecosystem
180,Kiosk_of_Qertassi,Famous Landmarks
181,Saqqara,Famous Landmarks
182,Edfu_Temple,Famous Landmarks
183,Mortuary_Temple_of_Thutmosis_III,Famous Landmarks
184,Qurnet_Murai,Famous Landmarks
185,Paromeos_Monastery,Religion and belief
186,Pyramid_of_Teti,Famous Landmarks
187,Pyramid_of_Ameni_Qemau,Famous Landmarks
188,Mosque_of_Ibn_Tulun,Famous Landmarks
189,Red_Monastery,Religion and belief
190,Aqsunqur_Mosque,Famous Landmarks
191,Pyramid_of_Nyuserre_Ini,Famous Landmarks
192,Coloured_Canyon,Natural scenery and Ecosystem
193,Borg_El_Arab_Stadium,Famous Landmarks
194,Egyptian_Geological_Museum,Historical Artifacts
195,"El-Ma'eini_mosque,_Dumyat",Religion and belief
196,Pyramid_of_Khentkaus_II,Famous Landmarks
197,Saint_Mark_Coptic_Orthodox_Church_(Heliopolis),Religion and belief
198,Cairo_Opera_House,Famous Landmarks
199,Deir_el-Qadisa_Damyana,Religion and belief
200,"Nubia_Museum,_Aswan",Historical Artifacts
201,WV22,Famous Landmarks
202,Shepheard's_Hotel,Famous Landmarks
203,Ahmed_Shawki_Museum,Historical Figures
204,Pyramid_of_Ahmose,Famous Landmarks
205,"Greek_Orthodox_Cathedral_of_Evangelismos,_Alexandria",Religion and belief
206,Aswan_Museum,Historical Artifacts
207,Collections_of_the_Imhotep_Museum_in_Saqqara,Historical Artifacts
208,Tomb_of_Unknown_Soldier_in_Cairo,Famous Landmarks
209,"El-Bahr_mosque,_Dumyat",Famous Landmarks
210,"Saints_Sergius_and_Bacchus_Church,_Cairo",Religion and belief
211,Rhoda_Island,Famous Landmarks
212,New_Kalabsha,Famous Landmarks
213,Mosque_of_Sultan_al-Muayyad,Famous Landmarks
214,Egyptian_National_Library,Famous Landmarks
215,Pyramid_of_Amenemhat_I,Famous Landmarks
216,Sulayman_Pasha_Mosque,Famous Landmarks
217,Wadi_Hammamat,Famous Landmarks
218,Al-Ghuri_Complex,Famous Landmarks
219,Mahmoud_Khalil_Museum,Historical Artifacts
220,Petrified_Forest_near_Maadi,Natural scenery and Ecosystem
221,Hatem_Mosque,Religion and belief
222,Al-Nur_Mosque,Religion and belief
223,Alexandria_National_Museum,Historical Artifacts
224,Alexandria_Stadium,Famous Landmarks
225,"Museum_of_Islamic_Art,_Cairo",Historical Artifacts
226,Tomb_of_Hetepheres,Historical Artifacts
227,Syrian_Monastery,Religion and belief
228,Port_Said_Lighthouse,Famous Landmarks
229,Emir_Qurqumas_complex,Famous Landmarks
230,Pyramid_of_Pepi_II,Famous Landmarks
231,Museum_of_Constantine_P._Cavafy,Historical Artifacts
232,Lake_Timsah,Natural scenery and Ecosystem
233,"Cathedral_of_St._Mark,_Alexandria",Religion and belief
234,Pyramid_of_Baka,Famous Landmarks
235,Fatima_Khatun_Mosque,Religion and belief
236,Black_Pyramid_of_Amenemhat_III,Famous Landmarks
237,"Gebel_el-Teir,_el-Kharga","I need the Wikipedia Summary to categorize Gebel el-Teir, el-Kharga. Please provide the summary."
238,Island_of_Bigeh,"I am sorry, I can not classify the island without the Wikipedia summary. Please provide the content of the summary."
239,"Giyushi_Mosque,_Cairo",Religion and belief
240,Layer_Pyramid,Famous Landmarks
241,Pyramid_of_Merenre_Nemtyemsaf_I,Famous Landmarks
242,Pyramid_of_Pepi_I,Famous Landmarks
243,Hurghada_Grand_Aquarium,Natural scenery and Ecosystem
244,KV62,Famous Landmarks
245,Dra_Abu_el-Naga,Famous Landmarks
246,Gilf_Kebir_Plateau,Natural scenery and Ecosystem
247,Green_Island_(Egypt),Famous Landmarks
248,Heliopolis_Palace,Famous Landmarks
249,EL-Safa_Park,Natural scenery and Ecosystem
250,Mosque_of_Qanibay_al-Muhammadi,Famous Landmarks
251,Sha'b_Abu_el-Nuhas,"I need the Wikipedia summary of ""Sha'b Abu el-Nuhas"" to categorize it. Please provide the summary."
252,Pharaon_Island,Famous Landmarks
253,White_Pyramid_of_Amenemhat_II,Famous Landmarks
254,Umm_el-Qaab,Famous Landmarks
255,Dream_Park,Historical Artifacts
256,Sha'ar_Hashamayim_Synagogue_(Cairo),Religion and belief
257,Gidi_Pass,Famous Landmarks
258,Desouk_Stadium,Famous Landmarks
259,Medinet_Madi,Famous Landmarks
260,Pyramid_of_Neferefre,Famous Landmarks
261,Bahr_Yousef_canal,Famous Landmarks
262,Abu_Qir_Bay,Famous Landmarks
263,Al-Sayeda_Zainab_Mosque,Religion and belief
264,Al_Fattah_Al_Alim_Mosque_(Cairo),Religion and belief
265,Sayeda_Aisha_Mosque,Religion and belief
266,Port_Tewfik_Memorial,Famous Landmarks
267,Attarine_Mosque,Famous Landmarks
268,Mosque_of_Sultan_Abu_al-Ila,Religion and belief
269,Al-Fath_Mosque,Famous Landmarks
270,Gezira_Center_for_Modern_Art,Historical Artifacts
271,Pyramid_of_Seila,Famous Landmarks
272,Amada,Famous Landmarks
273,Koubbeh_Palace,Famous Landmarks
274,Relations_of_Egypt_and_Italy,"Unable to categorize, as the provided Wikipedia summary is empty."
275,Sohag_Stadium,Famous Landmarks
276,Userkaf_sun_temple,Famous Landmarks
277,Ras_el-Tin_Palace,Famous Landmarks
278,"Tirbana_mosque,_Alexandria",Religion and belief
279,Abu_Ghurab,Famous Landmarks
